t_sec      qx           qy           qz           qw
  0.000  -0.864940040  -0.011421365   0.099021356   0.491877069
  0.250  -0.865049762  -0.011560690   0.099226330   0.491639497
  0.500  -0.865159240  -0.011699931   0.099431176   0.491402118
  0.750  -0.865268475  -0.011839088   0.099635895   0.491164932
  1.000  -0.865377467  -0.011978162   0.099840486   0.490927939
  1.250  -0.865486215  -0.012117152   0.100044949   0.490691139
  1.500  -0.865594721  -0.012256058   0.100249284   0.490454532
  1.750  -0.865702985  -0.012394880   0.100453491   0.490218120
  2.000  -0.865811006  -0.012533619   0.100657569   0.489981902
  2.250  -0.865918785  -0.012672273   0.100861519   0.489745879
  2.500  -0.866026321  -0.012810844   0.101065340   0.489510051
  2.750  -0.866133617  -0.012949331   0.101269033   0.489274418
  3.000  -0.866240670  -0.013087733   0.101472597   0.489038981
  3.250  -0.866347482  -0.013226052   0.101676032   0.488803740
  3.500  -0.866454053  -0.013364287   0.101879338   0.488568695
  3.750  -0.866560383  -0.013502437   0.102082515   0.488333847
  4.000  -0.866666473  -0.013640504   0.102285563   0.488099196
  4.250  -0.866772322  -0.013778486   0.102488482   0.487864743
  4.500  -0.866877930  -0.013916384   0.102691271   0.487630487
  4.750  -0.866983298  -0.014054198   0.102893931   0.487396429
  5.000  -0.867088427  -0.014191927   0.103096462   0.487162569
  5.250  -0.867193315  -0.014329572   0.103298863   0.486928908
  5.500  -0.867297965  -0.014467133   0.103501134   0.486695447
  5.750  -0.867402375  -0.014604610   0.103703275   0.486462184
  6.000  -0.867506545  -0.014742002   0.103905287   0.486229121
  6.250  -0.867610477  -0.014879309   0.104107168   0.485996259
  6.500  -0.867714170  -0.015016533   0.104308919   0.485763596
  6.750  -0.867817625  -0.015153671   0.104510541   0.485531134
  7.000  -0.867920842  -0.015290725   0.104712032   0.485298874
  7.250  -0.868023820  -0.015427695   0.104913392   0.485066814
  7.500  -0.868126561  -0.015564580   0.105114622   0.484834956
  7.750  -0.868229063  -0.015701380   0.105315722   0.484603300
  8.000  -0.868331329  -0.015838096   0.105516691   0.484371847
  8.250  -0.868433357  -0.015974727   0.105717529   0.484140596
  8.500  -0.868535148  -0.016111273   0.105918237   0.483909548
  8.750  -0.868636702  -0.016247735   0.106118814   0.483678703
  9.000  -0.868738020  -0.016384112   0.106319259   0.483448062
  9.250  -0.868839101  -0.016520403   0.106519574   0.483217625
  9.500  -0.868939946  -0.016656611   0.106719758   0.482987392
  9.750  -0.869040555  -0.016792733   0.106919810   0.482757363
 10.000  -0.869140928  -0.016928770   0.107119731   0.482527540
 10.250  -0.869241066  -0.017064723   0.107319521   0.482297921
 10.500  -0.869340968  -0.017200590   0.107519180   0.482068508
 10.750  -0.869440635  -0.017336373   0.107718707   0.481839301
 11.000  -0.869540067  -0.017472071   0.107918102   0.481610300
